State,ElectionDate,MapType,DemocratDistricts,RepublicanDistricts
AL,2016,current,0,6
AL,2018,current,0,7
AR,2016,current,0,4
AR,2018,current,0,4
AZ,2016,current,1,8
AZ,2018,current,6,3
CA,2016,current,41,12
CA,2018,current,41,12
CO,2016,current,3,4
CO,2018,current,4,3
CT,2016,current,5,0
CT,2018,current,5,0
DE,2016,current,1,0
DE,2018,current,1,0
FL,2016,current,10,17
FL,2018,current,10,17
GA,2016,current,5,8
GA,2018,current,7,7
HI,2016,current,2,0
HI,2018,current,2,0
IA,2016,current,1,3
IA,2018,current,3,1
ID,2016,current,0,2
ID,2018,current,0,2
IL,2016,current,12,6
IL,2018,current,13,5
IN,2016,current,2,7
IN,2018,current,2,7
KS,2016,current,0,4
KS,2018,current,1,3
KY,2016,current,1,5
KY,2018,current,1,5
LA,2016,current,1,5
LA,2018,current,1,5
MA,2016,current,9,0
MA,2018,current,9,0
MD,2016,current,7,1
MD,2018,current,7,1
ME,2016,current,1,1
ME,2018,current,2,0
MI,2016,current,5,9
MI,2018,current,7,7
MN,2016,current,6,2
MN,2018,current,6,2
MO,2016,current,2,6
MO,2018,current,3,5
MS,2016,current,1,3
MS,2018,current,1,3
MT,2016,current,0,1
MT,2018,current,0,1
NC,2016,current,3,10
NC,2018,current,5,8
ND,2016,current,0,1
ND,2018,current,0,1
NE,2016,current,0,3
NE,2018,current,0,3
NH,2016,current,1,1
NH,2018,current,2,0
NJ,2016,current,7,5
NJ,2018,current,11,1
NM,2016,current,2,1
NM,2018,current,3,0
NV,2016,current,2,2
NV,2018,current,3,1
NY,2016,current,19,8
NY,2018,current,22,5
OH,2016,current,4,12
OH,2018,current,4,12
OK,2016,current,0,5
OK,2018,current,1,4
OR,2016,current,4,1
OR,2018,current,4,1
PA,2016,current,5,13
PA,2018,current,8,10
RI,2016,current,2,0
RI,2018,current,2,0
SC,2016,current,1,6
SC,2018,current,2,5
SD,2016,current,0,1
SD,2018,current,0,1
TN,2016,current,2,7
TN,2018,current,2,7
TX,2016,current,10,26
TX,2018,current,18,18
UT,2016,current,0,4
UT,2018,current,1,3
VA,2016,current,4,7
VA,2018,current,7,4
VT,2016,current,1,0
VT,2018,current,1,0
WA,2016,current,7,3
WA,2018,current,7,3
WI,2016,current,2,6
WI,2018,current,3,5
WV,2016,current,0,3
WV,2018,current,0,3
WY,2016,current,0,1
WY,2018,current,0,1
